Answer,RT,StimulusOr,Trial_type,DistractorOr,Block
NaN,NaN,24,100,30,1
NaN,NaN,143,50,0,1
NaN,NaN,170,100,-30,1
30,1.62852579998435,21,50,5,1
49,1.77457960002357,47,50,15,1
116,2.76289550002548,103,0,0,1
170,1.89396699998179,170,100,-30,1
115,2.36232879999443,104,50,0,1
53,1.98222080001142,44,100,-5,1
63,3.50610939998296,85,100,-5,1
106,2.08587530002114,100,0,0,1
238,2.04166560000158,65,50,0,1
118,3.07073989999481,109,50,30,1
62,2.09780630000751,78,50,-5,1
44,1.94971819999046,44,50,0,1
54,2.26526739998371,54,100,-15,1
175,3.59787860000506,179,0,0,1
111,2.8738452999969,96,100,-30,1
16,3.26096749998396,14,0,0,1
147,3.24894560000394,142,50,15,1
166,1.56502680000267,166,0,0,1
36,2.4889717999904,22,50,0,1
135,1.86049120000098,144,0,0,1
37,2.88846149999881,24,100,30,1
159,2.9008019999892,173,50,0,1
54,4.28046809998341,44,0,0,1
158,1.49992360000033,172,50,-30,1
123,2.87205969999195,134,100,-15,1
55,1.77217020001262,70,0,0,1
75,3.92857719998574,84,100,5,1
145,4.94751559998258,146,100,30,1
138,3.49541579998913,144,0,0,1
NaN,NaN,5,0,0,1
45,1.91203629999654,36,0,0,1
123,1.26715010000044,109,100,15,1
65,2.07904379998217,66,0,0,1
32,2.53013840000494,37,100,15,2
149,2.8545530999836,154,0,0,2
147,3.13744960000622,154,0,0,2
58,2.773815499997,65,100,30,2
55,1.52174339999328,50,0,0,2
10,2.61440880000009,182,50,30,2
140,1.80129899998428,142,100,-30,2
22,4.25323530001333,25,0,0,2
160,2.02513930000714,173,100,-5,2
23,3.14148409999325,18,100,15,2
18,2.34468569999444,19,50,-5,2
116,1.74861119998968,99,50,0,2
165,1.87299780000467,173,100,-5,2
115,1.42054660001304,105,100,5,2
18,2.56080839998322,13,0,0,2
121,3.02047839999432,104,50,-30,2
212,1.48828060002415,21,50,0,2
50,2.10894550001831,49,50,-5,2
151,3.14384859998245,170,0,0,2
53,2.17994289999478,54,100,-15,2
115,3.15990810000221,100,0,0,2
66,3.30035669999779,78,50,0,2
85,3.20748250000179,83,100,-15,2
76,3.14768039999763,75,0,0,2
138,2.21564290000242,134,100,-15,2
150,1.12373359999037,169,50,0,2
108,2.50301919999765,109,100,15,2
NaN,NaN,55,0,0,2
14,2.51898150000488,18,100,15,2
152,2.05164879999938,153,50,-15,2
130,3.63847880001413,129,50,0,2
67,4.09864650000236,65,50,-30,2
64,1.87058269997942,66,0,0,2
158,2.27463429997442,166,0,0,2
50,3.83918109998922,40,50,0,2
116,2.98602080001729,113,0,0,2
6,2.45896010001888,181,0,0,3
100,2.67958339999313,96,0,0,3
53,4.13876979998895,41,100,30,3
26,1.59051989999716,20,100,-30,3
117,3.85049770001206,134,0,0,3
70,2.44683880000957,85,100,-5,3
164,2.59401749999961,169,100,-15,3
45,3.42202850000467,49,0,0,3
156,2.38670699999784,167,100,5,3
45,4.05413350000163,37,100,15,3
44,2.50593919999665,49,0,0,3
74,1.31777699998929,75,0,0,3
151,2.19356909999624,115,100,30,3
135,2.86969669998507,126,100,-5,3
16,2.480931099999,14,0,0,3
140,1.88518119999208,143,0,0,3
99,2.025034100021,96,50,0,3
57,2.40500160001102,49,50,0,3
68,2.59257700000308,72,100,-30,3
102,3.55652799998643,96,50,15,3
142,1.74507130001439,154,50,0,3
76,2.58104160000221,81,50,5,3
15,1.55249569998705,17,50,15,3
39,2.44446990001597,25,0,0,3
66,2.35288220000803,70,0,0,3
139,2.39638130000094,143,50,-5,3
67,1.29595070000505,72,50,0,3
104,1.37187699999777,96,0,0,3
167,2.00814960000571,180,0,0,3
170,1.9884312999784,172,50,0,3
228,1.76791880000383,53,50,-15,3
15,2.33157549999305,17,100,-15,3
26,1.95955669999239,17,50,0,3
140,1.75540209998144,142,100,-30,3
149,2.11974660001579,169,50,15,3
102,2.16292689999682,106,100,-15,3
18,1.29015809998964,9,100,5,4
63,1.52642510001897,54,0,0,4
173,2.60156320000533,179,0,0,4
73,1.96605489999638,71,50,30,4
111,2.8654591999948,111,0,0,4
30,2.7977032000199,21,50,-15,4
100,1.95296480000252,99,50,0,4
146,2.51699659999576,141,100,5,4
70,1.95321949999197,83,100,-15,4
105,2.98940540000331,98,100,-5,4
144,3.59274540000479,145,0,0,4
153,1.80478960002074,154,50,30,4
73,3.28053210000508,84,100,5,4
53,1.71687609999208,54,0,0,4
146,1.66414250002708,153,50,0,4
141,1.89231520000612,146,100,30,4
52,3.05684480001219,53,50,0,4
74,2.80426919998717,79,0,0,4
