Answer,RT,StimulusOr,Trial_type,DistractorOr,Block
146,2.51000440001371,167,100,-15,1
146,1.94130500001484,168,50,0,1
143,2.0673003999982,154,0,0,1
107,2.67476629998419,114,50,5,1
30,2.29822420002893,13,0,0,1
86,3.02513710001949,84,100,5,1
156,3.09698169998592,162,50,-15,1
71,2.88722909998614,71,50,0,1
73,2.08669729999383,83,100,5,1
164,3.926509300014,171,50,0,1
143,2.7418553000025,123,0,0,1
234,1.66128950001439,65,0,0,1
56,3.12346709999838,58,0,0,1
146,2.91517510000267,153,50,0,1
31,2.70641240000259,13,100,-5,1
153,2.09760979999555,159,0,0,1
166,1.88948490002076,175,100,-5,1
41,2.40026379999472,43,100,-30,1
106,3.63972289999947,103,100,-5,1
55,2.42257029999746,34,100,-30,1
122,2.82237280000118,122,50,0,1
163,2.30913619999774,168,50,15,1
150,2.53245060000336,160,50,5,1
49,3.14791289999266,33,100,30,1
52,3.08297629997833,50,50,-15,1
32,3.03431930000079,11,0,0,1
151,2.17736239999067,161,100,15,1
56,1.19237779997638,59,50,0,1
69,3.08030800000415,72,50,-5,1
67,2.18341670001973,60,0,0,1
67,2.63101740001002,61,0,0,1
143,3.18181270000059,154,0,0,1
71,1.8771019000269,83,0,0,1
264,3.74818029999733,83,100,30,1
42,1.51589569999487,34,0,0,1
73,1.59462019999046,71,0,0,1
132,2.3138966000115,118,0,0,1
49,0.944866199977696,53,0,0,1
40,2.07290369999828,24,100,-30,1
148,2.35957890001009,157,50,-5,1
132,1.85536990000401,131,0,0,1
211,1.39811499998905,19,0,0,1
70,3.17347140001948,60,100,-15,1
68,3.30872910001199,53,100,-15,1
155,1.24444919999223,166,0,0,1
111,2.16341090001515,99,0,0,1
38,2.56224010000005,25,50,0,1
23,2.10563810000895,20,0,0,1
137,2.40072090001195,131,100,-30,1
130,3.01642999998876,113,50,-15,1
65,4.14351279998664,53,100,5,1
137,2.23877239998546,127,0,0,1
105,2.47804159999941,97,50,15,1
69,3.78103750001173,65,50,-30,1
36,2.06845349998912,37,0,0,1
71,2.25177100001019,71,0,0,1
76,2.58694169999217,75,100,15,1
116,2.01025250001112,111,100,-30,1
55,3.21725919999881,64,100,-30,1
39,2.86521219997667,51,100,15,1
167,2.5283075000043,167,0,0,1
107,4.17490700000781,99,50,0,1
121,3.31056320000789,129,100,30,1
35,2.06185749999713,29,0,0,1
157,1.58133049999014,162,50,0,1
254,2.48412380000809,65,100,30,1
130,2.51562079999712,136,100,15,1
124,4.28262679997715,98,100,15,1
126,2.65832630000659,105,100,-15,1
32,1.52163800000562,32,50,0,1
24,1.49686959999963,22,50,15,1
75,2.59195609999006,69,50,0,1
127,3.79884090000996,122,50,0,1
170,1.35039770000731,170,100,-15,1
48,2.1096583000035,28,0,0,1
152,1.88423039999907,154,50,0,1
168,2.82003120001173,174,0,0,1
118,3.01946650000173,128,50,5,1
167,1.79478730002302,170,100,-5,1
34,3.26600880001206,36,50,0,1
57,1.69688860001042,68,0,0,1
71,1.65598320000572,73,50,5,1
133,1.8156932000129,134,100,5,1
15,2.19036340000457,8,50,-30,1
160,2.07007870002417,152,50,0,1
57,2.38062879999052,44,0,0,1
100,2.42822100000922,109,0,0,1
132,3.69933400000446,133,0,0,1
74,1.97097639998537,68,50,30,1
251,3.06615600001533,71,0,0,1
154,2.16135470001609,148,100,-5,1
130,3.40867800000706,123,50,0,1
154,2.91955180000514,147,100,30,1
79,2.64726450000308,78,100,-15,1
85,2.49471110000741,83,50,0,1
114,2.74915229997714,105,0,0,1
150,2.90868389999378,141,50,5,1
42,1.60418269998627,41,50,0,1
136,2.5954563000123,131,50,0,1
150,3.48280450000311,143,100,-15,1
101,2.04985239999951,108,0,0,1
49,2.44092749999254,60,50,0,1
112,2.55267330000061,108,0,0,1
167,2.60019190001185,165,0,0,1
8,1.67134709999664,7,100,5,1
115,3.26200400001835,98,100,-5,1
140,2.69339319999563,142,50,-30,1
74,3.69266999998945,75,0,0,1
37,2.50006299998495,42,50,30,1
169,1.98690889999853,169,0,0,1
59,1.50639769999543,60,0,0,1
48,1.54553569998825,48,100,-30,1
118,2.40073290001601,128,0,0,1
33,1.7439251000178,31,50,0,1
130,3.83932669999194,123,100,5,1
