Answer,RT,StimulusOr,Trial_type,DistractorOr,Block
100,1.8638369999826,105,0,0,1
49,2.49157440010458,30,0,0,1
162,2.25576649978757,161,0,0,1
55,3.06043560011312,50,0,0,1
112,4.32122440007515,105,0,0,1
66,3.58159029996023,57,0,0,1
84,2.21015759999864,79,0,0,1
106,2.75090089999139,105,0,0,1
24,2.53913419996388,31,0,0,1
175,3.11971909995191,172,0,0,1
41,3.79646840016358,38,0,0,1
144,1.9771771999076,127,0,0,1
48,3.70190959982574,56,0,0,1
20,3.1384032999631,14,0,0,1
171,3.71087920013815,175,0,0,1
20,2.83504729997367,14,0,0,1
157,1.6639801999554,162,0,0,1
82,3.26081050001085,77,0,0,1
130,2.08167260000482,140,0,0,1
172,2.27784540015273,175,0,0,1
173,3.25835049990565,174,0,0,1
133,4.04693869990297,127,0,0,1
172,2.08334290003404,173,0,0,1
83,3.15152220008895,79,0,0,1
127,3.81270510004833,113,0,0,1
131,3.18540169997141,117,0,0,1
33,2.7337696000468,14,0,0,1
26,3.37843629997224,14,0,0,1
161,2.20703159994446,162,0,0,1
95,3.52341250004247,96,0,0,1
50,3.02419630018994,38,0,0,1
59,2.27689710003324,63,0,0,1
155,2.01457890006714,153,50,-57,2
156,2.56199239986017,152,50,-46,2
30,3.36699280003086,19,50,0,2
164,2.62784199998714,167,50,28,2
165,1.26455540000461,162,50,0,2
85,2.38026289991103,85,50,0,2
115,2.78486040001735,120,50,0,2
155,1.54155880003236,156,50,44,2
44,3.02611830015667,37,50,0,2
144,3.32677710009739,130,50,0,2
66,1.84364200010896,67,50,0,2
32,1.87176750018261,19,50,-72,2
50,1.86052739992738,37,50,63,2
159,2.73726860014722,107,50,30,2
104,2.63810520013794,101,50,0,2
60,1.46601320011541,52,50,0,2
46,3.05509899999015,29,50,0,2
153,2.97185190021992,155,50,55,2
80,3.00836490001529,66,50,-33,2
130,2.96446199994534,130,50,-79,2
103,2.67332760011777,101,50,-60,2
30,2.92571209999733,36,50,0,2
171,3.69008209998719,162,50,72,2
109,2.99084330000915,119,50,-34,2
21,2.38768230006099,14,50,76,2
77,1.43230039998889,76,50,57,2
169,3.46853780001402,160,50,0,2
168,1.88939689984545,155,50,0,2
39,3.81337739992887,66,50,0,2
68,2.05823840014637,72,50,0,2
71,2.57505290000699,68,50,29,2
162,4.41974950022995,152,50,0,2
55,1.86278319987468,39,100,63,3
133,2.96273219981231,128,100,-60,3
121,1.1274756998755,114,100,35,3
14,2.4282072999049,13,100,-80,3
172,2.88050560001284,173,100,26,3
86,3.40521730016917,101,100,-29,3
81,1.85803780006245,76,100,-76,3
69,2.45483059994876,38,100,44,3
117,1.73100050003268,114,100,35,3
124,1.5996518000029,149,100,-55,3
125,3.9643417999614,149,100,-55,3
46,2.22519390005618,33,100,-58,3
108,1.93313360004686,101,100,60,3
107,2.426093300106,111,100,-48,3
84,2.35901290015317,81,100,48,3
115,1.41048940015025,128,100,-60,3
142,2.7837957998272,144,100,-28,3
157,2.06839160015807,146,100,72,3
156,4.1852779998444,147,100,57,3
45,2.68531810003333,40,100,25,3
118,3.26605800003745,107,100,43,3
54,2.2790008999873,40,100,25,3
45,1.78713619988412,53,100,63,3
31,1.70381619990803,33,100,-58,3
85,3.47668979992159,84,100,-42,3
89,3.24143630010076,84,100,-42,3
8,3.53346589999273,5,100,71,3
159,2.98620649985969,144,100,-28,3
141,2.80701639992185,118,100,77,3
99,3.36324430000968,101,100,-29,3
70,2.61587539990433,63,100,-33,3
82,1.82862690021284,81,100,48,3
98,2.28280359995551,105,0,0,4
38,2.11096119997092,50,0,0,4
137,2.49158769985661,115,0,0,4
169,2.77662830008194,169,0,0,4
170,3.14885529992171,173,0,0,4
167,3.00881390017457,169,0,0,4
32,2.19818690000102,34,0,0,4
7,2.80286559998058,174,0,0,4
59,2.84702589991502,51,0,0,4
95,2.21175799984485,96,0,0,4
126,1.8645591000095,113,0,0,4
36,3.80519649991766,31,0,0,4
38,1.70544210006483,30,0,0,4
36,2.32602419983596,51,0,0,4
119,4.10708500002511,115,0,0,4
36,1.87084389990196,39,0,0,4
76,3.01170670008287,77,0,0,4
78,2.40839630016126,74,0,0,4
175,4.54938669991679,172,0,0,4
168,3.84144410002045,161,0,0,4
101,2.86225989996456,99,0,0,4
53,2.45074960007332,63,0,0,4
40,1.6951067999471,39,0,0,4
35,3.0519345998764,32,0,0,4
96,2.06459570000879,99,0,0,4
52,3.08551619993523,34,0,0,4
143,3.27315389993601,140,0,0,4
74,3.0618716001045,74,0,0,4
67,3.01064790016972,57,0,0,4
36,2.3111694001127,32,0,0,4
71,2.88387849996798,56,0,0,4
120,2.87201180006377,117,0,0,4
25,1.54793460015208,13,50,25,5
24,1.9756653001532,29,50,-27,5
84,2.45280839991756,85,50,43,5
72,1.63373699993826,52,50,-60,5
113,1.23848990001716,119,50,0,5
171,3.36251939996146,172,50,0,5
160,2.28739620000124,153,50,0,5
172,1.19606890017167,167,50,0,5
166,1.92027290002443,172,50,-34,5
108,2.57245550001971,116,50,0,5
80,2.28180380002595,72,50,77,5
103,1.87064229999669,101,50,0,5
104,3.30680980021134,120,50,-43,5
31,1.8394355000928,36,50,-64,5
109,3.61213729996234,111,50,60,5
26,3.62442840007134,12,50,-48,5
79,1.95710349990986,65,50,-74,5
105,1.66568510001525,111,50,0,5
64,2.13467820012011,68,50,0,5
45,0.970810199854895,38,50,48,5
5,2.27968190005049,14,50,0,5
50,2.71628600009717,38,50,0,5
158,2.08788580005057,160,50,-70,5
50,1.11725069978274,67,50,-45,5
16,1.69785879994743,12,50,0,5
73,1.81474349997006,76,50,0,5
128,2.70682580000721,116,50,49,5
107,2.0871979999356,107,50,0,5
161,3.23636840004474,156,50,0,5
55,1.57586820004508,65,50,0,5
17,2.2450098998379,13,50,0,5
103,2.25738670001738,101,50,77,5
106,2.29347090004012,101,100,60,6
58,1.94522270001471,53,100,63,6
108,2.50237439991906,111,100,-48,6
159,2.26624180004001,150,100,-78,6
73,2.59123469982296,75,100,26,6
46,2.03556589991786,19,100,-29,6
111,2.66466080001555,118,100,77,6
61,1.86924259993248,19,100,-29,6
114,1.41741059999913,119,100,-80,6
83,1.45421000011265,83,100,-55,6
165,0.96289850003086,171,100,-49,6
51,0.887748300097883,39,100,63,6
64,2.14785569999367,62,100,80,6
159,0.880042700096965,150,100,-78,6
171,2.28536500013433,173,100,26,6
170,1.28924549999647,171,100,-49,6
9,2.37416410003789,5,100,71,6
76,1.77829289995134,76,100,-76,6
86,2.99977890006267,83,100,-55,6
143,1.32370660011657,157,100,44,6
48,2.92058839998208,62,100,80,6
78,2.61341240000911,75,100,26,6
161,1.8974903000053,147,100,57,6
144,2.29434060002677,146,100,72,6
155,1.74710650020279,157,100,44,6
67,1.76720290002413,63,100,-33,6
57,2.33184380014427,23,100,-49,6
59,2.40080240019597,38,100,44,6
108,3.01345889992081,119,100,-80,6
14,2.36146409995854,13,100,-80,6
104,2.00633389991708,107,100,43,6
41,1.786845699884,23,100,-49,6
