Answer,RT,StimulusOr,Trial_type,DistractorOr,Block
NaN,NaN,106,50,0,1
44,3.72937090008054,26,50,0,1
157,2.95791600004304,173,50,-41,1
52,2.4665948000038,50,50,0,1
67,2.59119970002212,75,50,0,1
74,2.22716039989609,74,50,31,1
133,2.78378830000293,129,50,0,1
149,3.70869889995083,161,50,-60,1
105,2.52061499992851,103,50,-31,1
37,4.50163159996737,31,50,0,1
78,1.69852009997703,84,50,0,1
29,3.32657809997909,32,50,63,1
44,3.20308460004162,54,50,-76,1
113,3.77600059995893,104,50,0,1
NaN,NaN,61,50,0,1
114,2.12893839995377,104,50,71,1
144,2.71727619995363,161,50,0,1
127,2.94649260002188,144,50,0,1
121,1.46334100002423,121,50,0,1
58,3.03479129995685,61,50,-57,1
33,1.18392970005516,28,50,48,1
58,1.78112150006928,73,50,0,1
26,2.80903580004815,31,50,78,1
139,3.32553839997854,166,50,26,1
40,1.34613040008117,18,50,-72,1
159,2.822945300024,170,50,70,1
117,3.96335370000452,144,50,50,1
111,2.24821240000892,104,50,0,1
38,1.73312490002718,26,50,-60,1
122,2.93715160002466,107,50,0,1
28,1.54976520000491,29,50,-49,1
36,1.61876490002032,32,50,0,1
52,2.21807859989349,55,100,59,2
16,2.73428400000557,8,100,-44,2
72,1.45090080006048,76,100,-40,2
39,3.80766390007921,26,100,50,2
51,2.75666770001408,52,100,34,2
156,3.61703719990328,168,100,75,2
NaN,NaN,17,100,-63,2
47,2.15450920001604,39,100,57,2
174,3.39017469994724,9,100,-70,2
48,1.11544760002289,52,100,34,2
75,2.89605630002916,82,100,-61,2
151,2.26062579988502,164,100,61,2
46,3.36073099996429,63,100,-26,2
49,2.61360869999044,55,100,71,2
101,2.44268340000417,98,100,27,2
27,1.48696770006791,17,100,-63,2
41,1.22730030003004,39,100,31,2
134,1.28836879995652,150,100,-61,2
116,2.64495149999857,109,100,58,2
26,2.47297940007411,8,100,-44,2
104,2.39006960007828,109,100,58,2
38,2.54652790003456,38,100,-31,2
112,2.38287130009849,126,100,-46,2
144,1.51548080006614,172,100,-80,2
139,3.12825920002069,160,100,-44,2
115,2.65265349997208,122,100,74,2
107,3.44152250001207,102,100,-32,2
140,2.1897314999951,169,100,42,2
67,1.91433539998252,62,100,40,2
113,1.89484079997055,102,100,-32,2
131,2.07574279990513,130,100,-57,2
161,3.21642289997544,169,100,42,2
150,2.31111409992445,162,0,0,3
61,1.3388619000325,60,0,0,3
80,2.18400529993232,84,0,0,3
112,4.14072160003707,110,0,0,3
120,1.07354380004108,118,0,0,3
81,3.2136148000136,76,0,0,3
65,3.33854269993026,75,0,0,3
138,2.7988301999867,141,0,0,3
67,4.3314115999965,76,0,0,3
115,3.16003709996585,118,0,0,3
17,4.02904870000202,17,0,0,3
139,3.37750999990385,144,0,0,3
124,2.59772469999734,125,0,0,3
NaN,NaN,162,0,0,3
153,2.60712619998958,154,0,0,3
112,2.11564049997833,115,0,0,3
148,3.88838539994322,159,0,0,3
154,4.41281409992371,166,0,0,3
131,3.1456227999879,130,0,0,3
31,2.86187000002246,17,0,0,3
146,4.76260610006284,159,0,0,3
156,3.16735640005209,154,0,0,3
36,2.89912630000617,29,0,0,3
57,3.66408180003054,57,0,0,3
127,2.98902259999886,144,0,0,3
146,3.82603070000187,157,0,0,3
44,2.26999329996761,37,0,0,3
42,1.93051159998868,38,0,0,3
16,2.72742520004977,12,0,0,3
34,3.62741019995883,40,0,0,3
163,2.83999770006631,164,0,0,3
70,3.65283459995408,78,0,0,3
133,2.46933949994855,146,50,-80,4
152,1.44156300008763,159,50,0,4
146,1.83023329998832,151,50,0,4
116,3.47511170001235,104,50,43,4
70,3.27181760000531,75,50,72,4
41,3.37224359996617,54,50,0,4
34,3.74476109992247,36,50,30,4
167,2.10946899990086,170,50,0,4
27,3.53790100000333,29,50,0,4
46,3.18284350004978,50,50,48,4
158,2.14734949998092,166,50,0,4
75,3.0320941999089,74,50,0,4
106,3.11605760001112,103,50,0,4
148,1.9927835999988,159,50,65,4
NaN,NaN,109,50,0,4
131,2.12160219997168,129,50,-57,4
34,1.38276239996776,28,50,0,4
