Answer,RT,StimulusOr,Trial_type,DistractorOr,Block
NaN,NaN,167,50,0,1
NaN,NaN,118,50,-77,1
65,2.96277270000428,69,50,-57,1
72,3.66281529993284,73,50,-47,1
23,1.85155109991319,26,50,0,1
67,2.95987699995749,80,50,42,1
126,3.30847429996356,125,50,0,1
67,2.5134464999428,80,50,0,1
62,1.24533890001476,68,50,65,1
40,1.05836409993935,31,50,0,1
61,2.86340319993906,64,50,-72,1
126,0.931613399996422,116,50,26,1
143,2.8480627000099,146,50,0,1
14,1.49255970004015,5,50,0,1
18,1.08150580001529,11,50,0,1
22,2.30976730003022,9,50,0,1
158,2.1788455999922,174,50,26,1
76,2.35915569995996,84,50,-34,1
55,1.3077159000095,25,50,-42,1
36,1.04831769992597,31,50,0,1
148,2.22098469990306,162,50,0,1
94,1.72968459990807,126,50,62,1
66,2.47750939999241,75,50,0,1
134,1.53027419990394,159,50,-63,1
135,1.32726859999821,129,50,0,1
157,2.16393309994601,163,50,0,1
36,2.63238940003794,29,50,0,1
125,1.12492570001632,108,50,72,1
151,0.929718500003219,162,50,80,1
140,1.12566320004407,73,50,0,1
161,2.4345350000076,167,50,56,1
138,1.96734219999053,148,50,-71,1
149,1.31767739995848,153,0,0,2
134,1.63366169994697,140,0,0,2
16,1.14271509996615,6,0,0,2
65,3.02731400006451,74,0,0,2
59,2.12795450002886,51,0,0,2
29,1.33229779999238,15,0,0,2
10,1.33721789997071,7,0,0,2
157,1.37416030000895,162,0,0,2
125,1.07381450000685,118,0,0,2
127,2.08652989997063,127,0,0,2
74,1.10754259990063,85,0,0,2
149,2.53624649997801,154,0,0,2
140,1.53227460000198,144,0,0,2
108,1.76899090001825,109,0,0,2
21,2.05378489999566,7,0,0,2
108,2.67374550004024,98,0,0,2
67,1.91060579998884,69,0,0,2
114,3.371513399994,98,0,0,2
114,1.33623040001839,104,0,0,2
65,1.87612250004895,71,0,0,2
79,2.04970559990034,85,0,0,2
155,1.91800710000098,169,0,0,2
35,2.77039740001783,31,0,0,2
23,1.36670160002541,7,0,0,2
106,1.39562889991794,104,0,0,2
122,2.2885003000265,109,0,0,2
23,3.81269480008632,18,0,0,2
137,1.46551460004412,144,0,0,2
120,1.46195629995782,117,0,0,2
116,1.29004579992034,117,0,0,2
75,1.76672010007314,76,0,0,2
146,1.73164430004545,161,0,0,2
72,1.6536264999304,72,100,-47,3
122,2.40190969989635,119,100,79,3
126,1.09431340009905,120,100,45,3
130,1.74714170000516,147,100,-47,3
160,1.20795389998239,171,100,-60,3
156,1.61987359996419,166,100,43,3
28,1.39315590006299,33,100,77,3
14,0.957525199977681,10,100,-64,3
67,2.86548929999117,72,100,65,3
141,1.28628130001016,148,100,30,3
158,2.02713820000645,172,100,-32,3
152,1.24052110000048,147,100,-47,3
