Answer,RT,StimulusOr,Trial_type,DistractorOr,Block
26,2.24010029993951,27,100,-59,1
79,2.27613090001978,76,50,0,1
43,1.75219909986481,56,50,-28,1
NaN,NaN,72,100,-40,1
21,2.16981119988486,28,50,0,1
103,1.77400270011276,98,0,0,1
76,2.48244540020823,76,50,-55,1
41,1.82288519991562,39,0,0,1
5,2.04379780008458,11,100,42,1
77,2.10420880001038,81,0,0,1
76,2.34082129993476,58,50,0,1
162,1.44967220001854,170,50,0,1
141,1.09401120012626,150,100,58,1
103,2.16286469995975,101,50,0,1
150,1.79166310001165,162,0,0,1
166,2.61917339987122,170,100,-80,1
27,2.0961700999178,33,0,0,1
39,2.50889329984784,39,100,-44,1
74,1.97818359988742,81,0,0,1
25,1.48583430005237,21,50,-73,1
52,2.52246120013297,66,100,-77,1
153,2.22370809991844,156,100,57,1
144,4.12344830017537,137,50,0,1
114,2.05634530005045,111,100,26,1
132,2.25336050009355,130,50,60,1
155,1.61808809987269,152,100,-49,1
45,2.20620890008286,62,100,26,1
137,2.69109380012378,139,0,0,1
142,2.48769620014355,154,0,0,1
128,2.05152969993651,118,100,-73,1
121,1.35263319988735,119,0,0,1
44,1.02096610004082,39,0,0,1
153,1.30643270001747,161,0,0,1
121,3.24622640013695,118,50,29,1
47,2.41073280014098,20,0,0,1
160,2.23986710002646,170,50,31,1
45,3.09483319986612,39,100,-44,2
117,1.50692760013044,99,50,-46,2
122,2.65559630002826,116,100,-30,2
134,2.19623110000975,149,100,-57,2
24,3.36098110000603,19,0,0,2
159,1.4375255999621,164,0,0,2
72,1.36987280007452,82,100,61,2
106,2.37485100002959,98,100,-64,2
42,2.78669940005057,33,0,0,2
169,1.59117719996721,170,50,0,2
28,1.88422649982385,26,50,-34,2
44,1.47282120003365,62,100,26,2
78,1.61341079999693,81,0,0,2
159,2.32975050015375,168,100,46,2
15,1.50279850000516,11,50,0,2
79,2.6991756001953,84,50,0,2
149,1.25552680017427,152,100,-49,2
44,1.29258450004272,57,50,0,2
167,2.79323349986225,171,100,72,2
139,3.2537108999677,137,50,0,2
140,2.13008429994807,135,50,72,2
45,2.10296280006878,40,0,0,2
142,1.89111210010014,154,0,0,2
22,1.58373999991454,8,100,28,2
121,1.87647929997183,111,50,0,2
150,1.74523989995942,168,0,0,2
48,1.82138859992847,60,50,56,2
77,2.42589209997095,84,50,-31,2
62,1.63073690002784,65,0,0,2
-48,1.72285540006123,132,0,0,2
121,2.26361459982581,116,0,0,2
56,2.32473710016347,70,100,-55,2
8,2.14491460006684,5,100,-25,2
77,1.90939339995384,82,0,0,2
105,2.01817479985766,112,0,0,2
34,0.502711999928579,159,50,-55,2
12,2.36058770003729,10,0,0,3
55,1.80457539996132,55,50,78,3
21,1.86512850015424,5,100,-25,3
15,1.62228189990856,23,0,0,3
170,2.07513029989786,171,50,-31,3
118,1.16718590003438,118,100,-73,3
144,1.32345649995841,168,100,46,3
19,1.61654029996134,11,100,42,3
47,1.54887249995954,59,0,0,3
110,1.68156929989345,118,50,-57,3
112,1.27011330006644,116,0,0,3
72,2.77882570005022,82,0,0,3
143,1.30288309999742,147,0,0,3
69,1.88417509989813,82,0,0,3
110,1.91297059995122,99,50,0,3
152,1.38095290004276,151,100,28,3
30,1.44195410003886,21,50,0,3
66,2.00620150007308,78,50,-70,3
67,2.19479330000468,70,100,-55,3
139,1.50358089990914,127,50,49,3
135,2.98024490009993,115,100,77,3
152,0.945057299919426,161,0,0,3
65,2.23680229997262,78,50,0,3
133,2.28135420009494,135,50,0,3
48,2.11821340001188,63,100,43,3
164,1.38733080006205,165,100,-46,3
58,2.1511077999603,66,100,78,3
164,3.42033390002325,170,50,0,3
43,2.22493289993145,46,0,0,3
149,1.30094529991038,154,100,50,3
102,3.26570160011761,104,0,0,3
171,2.14269270002842,174,0,0,3
43,1.25930340006016,44,100,58,3
146,2.59132579993457,139,0,0,3
32,1.63595829997212,28,50,70,3
48,1.62509660003707,48,50,0,3
NaN,NaN,112,50,0,4
NaN,NaN,174,50,0,4
NaN,NaN,56,50,0,4
NaN,NaN,18,100,71,4
NaN,NaN,17,100,-47,4
NaN,NaN,116,100,-30,4
NaN,NaN,18,50,44,4
NaN,NaN,167,100,-28,4
NaN,NaN,40,0,0,4
NaN,NaN,78,50,65,4
NaN,NaN,151,100,-73,4
NaN,NaN,69,0,0,4
NaN,NaN,164,0,0,4
NaN,NaN,26,50,0,4
NaN,NaN,137,50,-71,4
NaN,NaN,76,100,-28,4
NaN,NaN,62,100,79,4
NaN,NaN,145,0,0,4
NaN,NaN,156,100,57,4
NaN,NaN,46,0,0,4
NaN,NaN,20,0,0,4
NaN,NaN,168,0,0,4
NaN,NaN,108,0,0,4
NaN,NaN,70,0,0,4
NaN,NaN,62,100,79,4
NaN,NaN,85,50,0,4
NaN,NaN,150,100,58,4
NaN,NaN,154,0,0,4
NaN,NaN,108,50,48,4
NaN,NaN,59,50,40,4
NaN,NaN,146,50,0,4
NaN,NaN,125,0,0,4
NaN,NaN,82,100,61,4
NaN,NaN,5,0,0,4
NaN,NaN,174,50,-71,4
NaN,NaN,124,100,65,4
NaN,NaN,152,100,73,5
NaN,NaN,167,0,0,5
NaN,NaN,78,0,0,5
NaN,NaN,123,100,48,5
NaN,NaN,142,0,0,5
NaN,NaN,52,0,0,5
NaN,NaN,127,50,0,5
NaN,NaN,44,100,58,5
NaN,NaN,32,100,65,5
NaN,NaN,17,0,0,5
NaN,NaN,159,0,0,5
NaN,NaN,59,50,0,5
NaN,NaN,58,50,-61,5
NaN,NaN,69,0,0,5
NaN,NaN,104,0,0,5
NaN,NaN,154,0,0,5
NaN,NaN,125,50,0,5
NaN,NaN,6,0,0,5
NaN,NaN,38,100,-58,5
NaN,NaN,59,0,0,5
NaN,NaN,112,0,0,5
NaN,NaN,164,100,26,5
NaN,NaN,165,100,-62,5
NaN,NaN,97,100,-47,5
NaN,NaN,85,50,27,5
NaN,NaN,66,100,-77,5
NaN,NaN,69,100,47,5
NaN,NaN,11,50,60,5
NaN,NaN,7,50,0,5
NaN,NaN,159,50,0,5
NaN,NaN,151,100,-73,5
NaN,NaN,85,50,0,5
NaN,NaN,170,50,70,5
NaN,NaN,125,50,78,5
NaN,NaN,137,50,-33,5
NaN,NaN,32,100,65,5
NaN,NaN,153,50,0,6
NaN,NaN,60,100,-27,6
NaN,NaN,6,100,-71,6
NaN,NaN,111,100,26,6
NaN,NaN,66,100,78,6
NaN,NaN,164,100,26,6
NaN,NaN,167,100,-28,6
NaN,NaN,60,100,-74,6
NaN,NaN,82,0,0,6
NaN,NaN,76,100,-28,6
NaN,NaN,7,50,-50,6
NaN,NaN,83,50,0,6
NaN,NaN,26,50,0,6
NaN,NaN,118,50,0,6
NaN,NaN,123,100,48,6
NaN,NaN,169,50,0,6
NaN,NaN,27,100,-59,6
NaN,NaN,143,100,-31,6
NaN,NaN,80,50,-50,6
NaN,NaN,23,0,0,6
NaN,NaN,70,0,0,6
NaN,NaN,19,0,0,6
NaN,NaN,147,0,0,6
NaN,NaN,55,50,0,6
NaN,NaN,174,0,0,6
NaN,NaN,108,0,0,6
NaN,NaN,132,0,0,6
NaN,NaN,169,50,-42,6
NaN,NaN,40,0,0,6
NaN,NaN,40,0,0,6
NaN,NaN,101,50,-75,6
NaN,NaN,59,50,-75,6
NaN,NaN,146,50,27,6
NaN,NaN,159,0,0,6
NaN,NaN,152,100,73,6
NaN,NaN,125,0,0,6
NaN,NaN,18,100,71,7
NaN,NaN,52,0,0,7
NaN,NaN,119,0,0,7
NaN,NaN,171,100,72,7
NaN,NaN,72,100,-40,7
NaN,NaN,65,0,0,7
NaN,NaN,165,100,-46,7
NaN,NaN,97,100,-47,7
NaN,NaN,78,0,0,7
NaN,NaN,145,0,0,7
NaN,NaN,111,50,62,7
NaN,NaN,167,0,0,7
NaN,NaN,143,100,-31,7
NaN,NaN,18,50,0,7
NaN,NaN,85,50,79,7
NaN,NaN,17,100,-47,7
NaN,NaN,5,0,0,7
NaN,NaN,10,0,0,7
NaN,NaN,171,50,0,7
NaN,NaN,153,50,-47,7
NaN,NaN,168,0,0,7
NaN,NaN,78,50,0,7
NaN,NaN,170,50,55,7
NaN,NaN,142,0,0,7
NaN,NaN,107,0,0,7
NaN,NaN,26,50,28,7
NaN,NaN,57,50,30,7
NaN,NaN,60,100,-74,7
NaN,NaN,77,0,0,7
NaN,NaN,69,100,47,7
NaN,NaN,98,100,-64,7
NaN,NaN,118,50,0,7
NaN,NaN,60,50,0,7
NaN,NaN,130,50,0,7
NaN,NaN,63,100,43,7
NaN,NaN,149,100,-57,7
NaN,NaN,48,50,-49,8
NaN,NaN,80,100,26,8
NaN,NaN,148,0,0,8
NaN,NaN,60,0,0,8
NaN,NaN,115,100,77,8
NaN,NaN,77,0,0,8
NaN,NaN,168,0,0,8
NaN,NaN,38,100,-58,8
NaN,NaN,166,50,49,8
NaN,NaN,151,100,28,8
NaN,NaN,80,100,26,8
NaN,NaN,6,100,-71,8
NaN,NaN,60,100,-27,8
NaN,NaN,6,0,0,8
NaN,NaN,108,50,0,8
NaN,NaN,112,50,-35,8
NaN,NaN,59,50,0,8
NaN,NaN,98,0,0,8
NaN,NaN,8,100,28,8
NaN,NaN,170,100,-80,8
NaN,NaN,17,0,0,8
NaN,NaN,148,0,0,8
NaN,NaN,83,50,43,8
NaN,NaN,135,50,0,8
NaN,NaN,107,0,0,8
NaN,NaN,29,50,0,8
NaN,NaN,60,0,0,8
NaN,NaN,165,100,-62,8
NaN,NaN,81,0,0,8
NaN,NaN,80,50,0,8
NaN,NaN,154,100,50,8
NaN,NaN,166,50,0,8
NaN,NaN,124,100,65,8
NaN,NaN,162,0,0,8
NaN,NaN,29,50,-56,8
NaN,NaN,135,50,-60,8
